ENG_NAME,year,ndvi_crop,rain_gs,drought_class,drought_pixel_rate,cropland_pct,county_id,post_2010,event_time,drought_treated,drought_post,high_agriculture,drought_post_high_agri,ndvi_baseline,high_ndvi,drought_post_high_ndvi,high_elevation,drought_post_high_elev,pop_density_2000,high_density,drought_post_high_density
Sandushuizu,2008,0.5559197139249632,1184.417063069429,,,0.9778627380074192,53,0,-2,1,0,0,0,0.5512158499278494,0,0,0,0,130.25210084033614,0,0
Wengan,2008,0.5551896549142422,953.105369975382,,,0.2552088108325727,67,0,-2,0,0,0,0,0.539987715397837,0,0,0,0,217.83181357649443,0,0
Changshun,2008,0.5404924212579649,1110.2674140621505,,,5.319764488672762,6,0,-2,1,0,1,0,0.5236346270032257,0,0,0,0,152.96367112810708,0,0
Anlong,2008,0.5248079906547265,1161.478834830619,,,6.702513152252508,0,0,-2,0,0,1,0,0.5134174397601035,0,0,0,0,183.1992850759607,0,0
Ceheng,2008,0.5857696018883279,1218.5065257280048,,,0.6167886361640534,4,0,-2,0,0,0,0,0.5879226776802501,1,0,0,0,80.83140877598153,0,0
Puan,2008,0.5356807963707683,1087.2698947349625,,,2.889410324973587,45,0,-2,1,0,0,0,0.5096022971664728,0,0,1,0,195.9412176347096,0,0
Qinglong,2008,0.5455620019760256,1138.6923051773058,,,4.400841459366841,48,0,-2,1,0,1,0,0.5392488402548564,0,0,0,0,202.854996243426,0,0
Wangmo,2008,0.5726292079295947,1191.724576179981,,,1.847908153841667,64,0,-2,1,0,0,0,0.5647911365155242,1,0,0,0,89.82035928143712,0,0
Xingren,2008,0.5228848425203325,1159.122681347669,,,6.603030601557847,71,0,-2,0,0,1,0,0.5088626326884613,0,0,0,0,,0,0
Xingyi,2008,0.5252930369318406,1048.142294439844,,,4.785560651562789,72,0,-2,0,0,1,0,0.5201113934149545,0,0,0,0,243.90243902439025,1,0
Zhenfeng,2008,0.53395595573985,1193.4838898101823,,,10.521882137488532,81,0,-2,0,0,1,0,0.5193393179289864,0,0,0,0,225.01654533421572,1,0
Liuzhite,2009,0.5211792996118303,929.2406472402372,,,2.27228048698804,35,0,-1,1,0,0,0,0.5431900812271002,0,0,0,0,334.82142857142856,1,0
Panzhou,2009,0.5430498106060606,973.48050657451,,,0.0864725450880446,42,0,-1,0,0,0,0,0.5440188952020202,0,0,1,0,,0,0
Shuicheng,2009,0.5581981870221253,884.8355271856277,,,1.921523088068112,57,0,-1,1,0,0,0,0.5728227529591806,1,0,1,0,195.3125,0,0
Zhongshan,2009,0.5199114939507271,786.8565647787013,,,3.186154509638887,86,0,-1,1,0,1,0,0.5289898294317594,0,0,1,0,,0,0
Guanlingbuyizumiaozu,2009,0.5349439089740868,940.9906926067453,,,18.30559404058004,17,0,-1,1,0,1,0,0.5418289418724831,0,0,0,0,218.28103683492495,0,0
Pingba,2009,0.505995434892661,776.6026484741827,,,23.04381036544468,43,0,-1,1,0,1,0,0.51749653033561,0,0,0,0,,0,0
Puding,2009,0.4935815358939437,861.6002922508424,,,9.911927761216717,46,0,-1,1,0,1,0,0.5108147690311406,0,0,0,0,368.66359447004606,1,0
Xixiu,2009,0.5102209031006315,828.4495690218181,,,21.52884621920908,75,0,-1,1,0,1,0,0.525234914722094,0,0,0,0,,0,0
Zhenningbuyizuandmiaozu,2009,0.5321029029474983,894.2008774557335,,,5.147267131763767,83,0,-1,1,0,1,0,0.5408999284938268,0,0,0,0,197.55955839628123,0,0
Ziyunmiaozuandbuyizu,2009,0.5130693740911428,873.2129909367103,,,1.5019892158423918,87,0,-1,0,0,0,0,0.5123081879161675,0,0,0,0,144.73684210526315,0,0
Dafang,2009,0.5564405271839314,693.3252131080225,,,18.02780994513717,9,0,-1,0,0,1,0,0.5800633145247991,1,0,1,0,271.42857142857144,1,0
Hezhang,2009,0.5470088654922403,687.0392202851644,,,5.124168693188555,20,0,-1,0,0,1,0,0.5611909950923055,1,0,1,0,191.0631741140216,0,0
Jinsha,2009,0.5402469055636152,667.4372012369195,,,1.431018253961164,29,0,-1,0,0,0,0,0.5583334568729623,0,0,0,0,225.4746835443038,1,0
Nayong,2009,0.5584345772603866,773.2085690257967,,,6.898442444125343,41,0,-1,1,0,1,0,0.5774449727943816,1,0,1,0,298.202614379085,1,0
Qixingguan,2009,0.5635086107340372,658.6054051478692,,,9.75842044134727,50,0,-1,1,0,1,0,0.5875250232843955,1,0,1,0,363.4232121922626,1,0
Qianxi,2009,0.5377201630918631,718.1764654771889,,,9.388543507179223,47,0,-1,0,0,1,0,0.5534201653145214,0,0,0,0,313.35683509596555,1,0
Weiningyizuhuizumiaozu,2009,0.5214166010595942,639.1711908238902,,,34.22099558416516,66,0,-1,1,0,1,0,0.5344928769891708,0,0,1,0,165.18424396442185,0,0
Zhijin,2009,0.5713872615770228,802.4840116341527,,,3.332235401204219,85,0,-1,1,0,1,0,0.5783823981431635,1,0,1,0,313.8075313807531,1,0
Guanshanhu,2009,0.4966706944577083,762.9205322218132,,,0.8585294211551363,18,0,-1,1,0,0,0,0.5158036167351097,0,0,0,0,,0,0
Huaxi,2009,0.5140658545452172,776.260698994755,,,12.60055417198841,23,0,-1,1,0,1,0,0.5290395919891179,0,0,0,0,,0,0
Kaiyang,2009,0.5350223118279571,761.445501068381,,,0.3329483995264734,31,0,-1,0,0,0,0,0.5602290902981428,0,0,0,0,207.30503455083908,0,0
Nanming,2009,0.5421695041691713,749.0811032214476,,,2.23661764027848,40,0,-1,1,0,0,0,0.5545337407400402,0,0,0,0,,0,0
Qingzhen,2009,0.5018918430547771,764.895124794196,,,3.4670192448949595,49,0,-1,1,0,1,0,0.511695280829848,0,0,0,0,335.1206434316354,1,0
Wudang,2009,0.5549929653679654,745.3525011724474,,,0.1097375193295826,69,0,-1,1,0,0,0,0.5798244588744589,1,0,0,0,,0,0
Xifeng,2009,0.5281066414141413,700.0806892057371,,,0.3608225055137449,70,0,-1,0,0,0,0,0.5541319318181818,0,0,0,0,231.43683702989392,1,0
Xiuwen,2009,0.5085467687074829,738.5782954063583,,,0.2790995482418099,74,0,-1,1,0,0,0,0.531109199134199,0,0,0,0,270.7749766573296,1,0
Yunyan,2009,0.531405356526243,743.256001779852,,,1.6371877072739325,78,0,-1,1,0,0,0,0.536317225627302,0,0,0,0,,0,0
Baiyun,2009,0.5372404166666667,756.459283198898,,,0.463004993191103,1,0,-1,1,0,0,0,0.53054625,0,0,0,0,,0,0
Bozhou,2009,0.5389593094895884,731.2777697893819,,,0.3291591893929039,3,0,-1,0,0,0,0,0.56792391370366,1,0,0,0,,0,0
Chishui,2009,0.0,832.0692465783148,,,0.0,7,0,-1,0,0,0,0,0.0,0,0,0,0,161.02165463631317,0,0
Daozhengelaozumiaozu,2009,0.583604375470271,1087.0545400969968,,,0.362037708402099,11,0,-1,0,0,0,0,0.5922148730712615,1,0,0,0,148.4230055658627,0,0
Fenggang,2009,0.5546333333333333,869.8122325524854,,,0.0132555880100867,15,0,-1,0,0,0,0,0.5404666666666667,0,0,0,0,207.11630377057887,0,0
Huichuan,2009,0.5603229166666667,775.6385858133825,,,0.0657557984365592,24,0,-1,0,0,0,0,0.5739479166666668,1,0,0,0,,0,0
Meitan,2009,0.5372298981191223,819.899896495965,,,0.1738245866094767,39,0,-1,0,0,0,0,0.5481515151515151,0,0,0,0,249.32249322493223,1,0
Renhuai,2009,0.5458277877584422,708.5889471214747,,,0.845914833623062,51,0,-1,1,0,0,0,0.583264056773052,1,0,0,0,313.19910514541385,1,0
Suiyang,2009,0.5237349315523657,924.8719351580576,,,0.499793049936647,60,0,-1,0,0,0,0,0.5427392643540669,0,0,0,0,190.95869056897897,0,0
Tongzi,2009,0.5450303461662892,905.240472022262,,,0.4280443029668578,63,0,-1,0,0,0,0,0.5655951256335598,1,0,0,0,196.875,0,0
Wuchuangelaozumiaozu,2009,0.5671238261965255,1017.8482463611645,,,0.3173505550547649,68,0,-1,0,0,0,0,0.5624551943543592,1,0,0,0,147.85430941218897,0,0
Xishui,2009,0.5448267473118278,827.7908561116473,,,0.1542982328473391,73,0,-1,0,0,0,0,0.5727101967253176,1,0,0,0,207.80051150895144,0,0
Yuqing,2009,0.5423599993852207,780.8063497302255,,,0.1213940636677859,80,0,-1,0,0,0,0,0.5535511393909587,0,0,0,0,172.5200246457178,0,0
Zhengan,2009,0.5872436923343576,1020.5804961753496,,,0.5374867708657205,82,0,-1,0,0,0,0,0.5777959473460957,1,0,0,0,219.65317919075144,0,0
Honghuagang,2009,0.0,744.1617483086186,,,0.0,21,0,-1,0,0,0,0,0.0,0,0,0,0,,0,0
Bijiang,2009,0.5304281862745099,735.2451277308973,,,0.1752654670805311,2,0,-1,0,0,0,0,0.5371727829768272,0,0,0,0,231.17569352708057,1,0
Dejiang,2009,0.5662153988022465,917.9906588410336,,,0.282678600620447,12,0,-1,0,0,0,0,0.5511258566690383,0,0,0,0,217.1814671814672,0,0
Jiangkou,2009,0.0,768.0594854760747,,,0.0,26,0,-1,0,0,0,0,0.0,0,0,0,0,117.6470588235294,0,0
Shiqian,2009,0.4761864583333333,774.4846469741416,,,0.0203202837975991,56,0,-1,0,0,0,0,0.5306109375,0,0,0,0,174.95395948434623,0,0
Sinan,2009,0.5313092857142857,816.207251580859,,,0.0477461813002081,58,0,-1,0,0,0,0,0.5319536904761905,0,0,0,0,246.52622142536976,1,0
Songtaomiaozu,2009,0.5181648684967124,816.2533424538361,,,0.106202726155739,59,0,-1,0,0,0,0,0.5385140032762183,0,0,0,0,223.698007689619,0,0
Wanshan,2009,0.5456625,730.7025257259562,,,0.0593635528737197,65,0,-1,0,0,0,0,0.5727885416666667,1,0,0,0,,0,0
Yanhetujiazu,2009,0.5540031193995018,897.1453040865647,,,0.8710159395916927,76,0,-1,0,0,0,0,0.5491390832526125,0,0,0,0,222.7622519238558,0,0
Yinjiangtujiazuandmiaozu,2009,0.5508267857142858,822.3388291048764,,,0.0253834013459175,77,0,-1,0,0,0,0,0.5717520833333334,1,0,0,0,209.0770015298317,0,0
Yupingdongzu,2009,0.5001677083333332,743.4302297895916,,,0.1911698281533182,79,0,-1,0,0,0,0,0.5162242187499999,0,0,0,0,271.3178294573643,1,0
Cengong,2009,0.0,751.4000529665956,,,0.0,5,0,-1,0,0,0,0,0.0,0,0,0,0,141.22394082044386,0,0
Congjiang,2009,0.5465531344368638,889.803750512921,,,0.0677082795905818,8,0,-1,1,0,0,0,0.5535379963091378,0,0,0,0,92.47842170160295,0,0
Danzhai,2009,0.5324246248896733,845.539575237005,,,1.3763281930347002,10,0,-1,1,0,0,0,0.5484241762283024,0,0,0,0,159.9147121535181,0,0
Huangping,2009,0.5189004433346917,800.7238672631411,,,1.1529161098511465,22,0,-1,0,0,0,0,0.5331299919251149,0,0,0,0,197.84172661870505,0,0
Jianhe,2009,0.5134208333333334,824.4190553793851,,,0.0114101617558225,27,0,-1,0,0,0,0,0.5425614583333334,0,0,0,0,98.03921568627452,0,0
