ENG_NAME,year,ndvi_crop,rain_gs,drought_class,drought_pixel_rate,cropland_pct,county_id,post_2010,event_time,drought_treated,drought_post,high_agriculture,drought_post_high_agri,ndvi_baseline,high_ndvi,drought_post_high_ndvi,high_elevation,drought_post_high_elev,pop_density_2000,drought_post_high_density,net_migration,net_migration_per_1000,births,deaths,births_source,deaths_source,high_elev,high_density,urban_core,pop_density,agri_employ_ratio,agri_gdp_ratio,gdp_pc,income_rural,elev_mean,agri_machinery_power,rural_investment,CHN_NAME,high_pop_density,high_agri_employ_ratio,high_agri_gdp_ratio,high_gdp_pc,high_income_rural,high_elev_mean
Shiqian,2008,0.5850354166666667,813.7040135985758,,,0.0203202837975991,56,0,-2,0,0,0,0,0.5306109375,0,0,0,0,174.95395948434623,0,,-3.2,5200.0,2000.0,real,real,0,0,False,184.07731247123792,0.5637185762880611,0.4657050820380531,4370.0,2460.0,858.7504097054716,12.4,20134.0,石阡县,0,0,1,0,0,0
Sinan,2008,0.5325980952380952,799.8111349025428,,,0.0477461813002081,58,0,-2,0,0,0,0,0.5319536904761905,0,0,0,0,246.52622142536976,0,,4.72,8580.0,3300.0,real,real,0,1,False,295.8314657104437,0.576253682750237,0.4180110664122032,4630.0,2230.0,710.428724605623,10.0,232967.0,思南县,1,1,1,0,0,0
Songtaomiaozu,2008,0.5588631380557242,927.572739233868,,,0.106202726155739,59,0,-2,0,0,0,0,0.5385140032762183,0,0,0,0,223.698007689619,0,,4.48,8970.0,3450.0,real,real,0,1,False,241.1744145403705,0.572916273724289,0.4061002233715519,5069.0,2279.0,710.7590061560487,19.6,95961.0,松桃苗族自治县,1,0,1,0,0,0
Wanshan,2008,0.5999145833333335,923.82051090338,,,0.0593635528737197,65,0,-2,0,0,0,0,0.5727885416666667,1,0,0,0,193.3871383381025,0,,,,,estimated,estimated,0,0,True,,,0.2008781081551034,9110.0,2141.0,605.2696689639718,,,万山区,0,0,0,0,0,0
Yanhetujiazu,2008,0.5442750471057233,848.8092226501162,,,0.8710159395916927,76,0,-2,0,0,0,0,0.5491390832526125,0,0,0,0,222.7622519238558,0,,25.2,7800.0,3000.0,real,real,0,1,False,243.01336573511543,0.6265506994368171,0.4390363645759763,4320.0,2251.0,751.2053990056814,23.0,176200.0,沿河土家族自治县,1,1,1,0,0,0
Yinjiangtujiazuandmiaozu,2008,0.592677380952381,831.6339758127494,,,0.0253834013459175,77,0,-2,0,0,0,0,0.5717520833333334,1,0,0,0,209.0770015298317,0,,6.64,5460.0,2100.0,real,real,0,0,False,214.1764405915349,0.4928232548928439,0.5171573233114104,4842.0,2410.0,911.9338661168616,13.2,46000.0,印江土家族苗族自治县,1,0,1,0,0,0
Yupingdongzu,2008,0.5322807291666667,881.0759794747414,,,0.1911698281533182,79,0,-2,0,0,0,0,0.5162242187499999,0,0,0,0,271.3178294573643,0,,-1.2,1950.0,750.0,real,real,0,1,False,290.1353965183752,0.5564389179178517,0.1712209730472777,15167.0,3283.0,506.20051194888185,21.9,76618.0,玉屏侗族自治县,1,0,0,1,0,0
Cengong,2008,0.0,819.7399256083385,,,0.0,5,0,-2,0,0,0,0,0.0,0,0,0,0,141.22394082044386,0,,-1.84,2990.0,1150.0,real,real,0,0,False,154.67383994620042,0.6229197299826227,0.2992127501710365,5090.0,2435.0,672.7579543413644,6.2,8643.0,岑巩县,0,1,1,0,0,0
Congjiang,2008,0.5605228581814117,1215.8143006052658,,,0.0677082795905818,8,0,-2,1,0,0,0,0.5535379963091378,0,0,0,0,92.47842170160295,0,,-2.64,4290.0,1650.0,real,real,0,0,False,101.72626387176324,0.7409149860068994,0.4172880569306931,3909.0,2425.0,682.4750570549642,10.5,41649.0,从江县,0,1,1,0,0,0
Danzhai,2008,0.5644237275669315,1146.7570210197089,,,1.3763281930347002,10,0,-2,1,0,0,0,0.5484241762283024,0,0,0,0,159.9147121535181,0,,-1.28,2080.0,800.0,real,real,0,0,False,170.2127659574468,0.5346812662619254,0.3603191505316676,4118.0,2441.0,878.6569678132201,3.3,19226.0,丹寨县,0,0,1,0,0,0
