年份,省份,城市,区县,区县代码,行政区域土地面积_平方公里,乡及镇个数_个,乡个数_个,镇个数_个,街道办事处个数_个,村民委员会个数_个,年末总户数_户,乡村户数_户,年末总人口_万人,乡村人口_万人,户籍人口数_万人,年末单位从业人员_人,城镇单位在岗职工人数_人,乡村从业人员数_人,农林牧渔业从业人员数_人,年末第二产业单位从业人员_人,年末第三产业单位从业人员_人,农业机械总动力_万千瓦特,固定电话用户_户,移动电话用户数_户,宽带接入用户数_户,地区生产总值_万元,第一产业增加值_万元,第二产业增加值_万元,工业增加值_万元,第三产业增加值_万元,农业增加值_万元,牧业增加值_万元,人均地区生产总值_元/人,城镇单位在岗职工平均工资_元,城镇居民人均可支配收入_元,农村居民人均可支配收入_元,地方财政一般预算收入_万元,各项税收_万元,地方财政一般预算支出_万元,城乡居民储蓄存款余额_万元,年末金融机构各项贷款余额_万元,出口额_美元,实际利用外资金额_美元,农作物总播种面积_千公顷,常用耕地面积_公顷,机收面积_公顷,设施农业占地面积_公顷,农用机械总动力_千万瓦,粮食总产量_吨,棉花产量_吨,油料产量_吨,肉类总产量_吨,农林牧渔业总产值_万元,规模以上工业企业数_个,规模以上工业总产值_万元,城镇固定资产投资完成额_万元,全社会固定资产投资_万元,社会消费品零售总额_万元,房地产开发投资_亿元,普通小学学校数_个,普通中学学校数_个,普通小学专任教师数_人,普通中学专任教师数_人,普通小学在校生数_人,普通中学在校学生数_人,中等职业教育学校在校学生数_人,医院、卫生院床位数_床,医院和卫生院卫生人员数_卫生技术人员_人,医院和卫生院卫生人员数_执业医师_人,各种社会福利收养性单位数_个,各种社会福利收养性单位床位数_床,全社会用电量_万千瓦时,城乡居民生活用电量_万千瓦时,废气中氮氧化物排放量_吨,废气中烟尘排放量_吨,工业废气中二氧化硫排放量_吨,艺术表演场馆数_剧场、影剧院_个,公共图书馆总藏量_千册,体育场馆机构数_个
2023,贵州省,铜仁市,石阡县,520623,2169,16,10,6,3,,,,,,41,,,,,,,,11131,,,1336062,407108,222058,,706896,,,,,,,33576,,341950,1114216,1994618,,,,,,110,,,,26821,,,39,,,,,,,,,,26115,13174,,2490,,,10,756,,,,,,,,
2000,贵州省,铜仁市,思南县,520624,2231,27,,,,561,158447,144782,55,54,55,14868,,355491,258646,,,6,9006,,,105017,75231,14883,,14903,,,1709,,,1163,4716,,11766,28160,28003,,,,29050,,,6,250335,11,15038,29298,109200,16,16608,9146,,26000,0.1,311,39,2698,,73314,27530,,581,,,11,309,,,,,,,,
2001,贵州省,铜仁市,思南县,520624,2231,27,,,,561,156951,145186,61,57,61,15244,,362594,266269,,,7,13910,,,109316,71280,19753,,18283,,,1758,,,1177,4848,,17975,35445,27180,,,,28920,,,7,208886,9,14110,31957,104800,16,29631,7805,,29000,0.2,294,39,2815,,75371,31674,,553,,,10,321,,,,,,,,
2002,贵州省,铜仁市,思南县,520624,2231,27,,,,561,158080,145860,61,57.5,61.4,16031,15900,356455,256118,,,7.9,18714,,,117200,77449,18989,,20762,,,1866,8484,,1224,5286,,21430,44516,36858,,,,28800,,,7.9,208514,13,13774,32752,107900,15,18623,13518,21692,31776,0.11,312,40,2816,,77601,35647,,553,,,10,321,,,,,,,,
2003,贵州省,铜仁市,思南县,520624,2231,27,,,,558,159497,145699,62,58,62,16013,23400,349069,237745,,,9,22066,,,117717,71572,22801,,23344,,,1857,9771,,1265,5806,,25017,55628,40094,,,,28823,,,9,217405,10,13784,33942,117400,12,22620,19216,26786,34878,0.07,279,40,2903,,79653,38920,,546,,,9,200,,,,,,,,
2004,贵州省,铜仁市,思南县,520624,2231,27,,,,558,161440,144713,63,58,63,15260,24200,355000,223000,,,7,28780,,,142975,87337,28917,,26721,,,2236,11056,,1388,6547,,30696,69443,52568,,,,28823,,,7,242501,8,17181,39117,130700,12,13692,33762,53888,39272,0.15,280,40,2797,,81750,42425,,553,,,7,169,,,,,,,,
2005,贵州省,铜仁市,思南县,520624,2231,27,,,,558,161699,144871,63,58,63,15225,16000,362241,222327,,,9,35458,,,178795,97195,39801,,41799,,,2774,11974,,1633,8005,,40186,89368,83840,,,,20805,,,9,224034,,18337,52034,91508,12,14908,108868,103985,44260,0.3,278,40,2745,,83359,43568,,550,,,10,180,,,,,,,,
2006,贵州省,铜仁市,思南县,520624,2231,27,,,,550,162870,144898,64,59,64,15387,27600,363328,222993,,,9,42000,,,211207,105329,56170,,49708,,,3254,13207,,1636,9050,,48606,113094,139282,,,,28817,,,9,210657,,21656,56424,147544,12,19461,129214,146757,50412,0.99,263,40,3126,,84296,45479,,556,,,10,180,,,,,,,,
2007,贵州省,铜仁市,思南县,520624,2231,27,,,,168,168037,152255,65,60,65,15567,15400,352905,193614,,,10,48843,,,261633,128906,70994,,61733,,,3254,13207,,1636,11186,,66732,139117,160374,,,,28800,,,10,255462,,22441,58478,147544,11,21292,164143,146757,50412,0.72,263,41,3057,,84810,46982,,676,,,7,107,,,,,,,,
2008,贵州省,铜仁市,思南县,520624,2231,27,,,,168,168665,151459,66,60.8,66,15542,15500,355373,204785,,,10,49383,,,291332,121780,93900,,75652,,,4630,20947,,2230,9800,,100238,199416,238882,,,,28820,,,10,256157,,14986,39771,201422,12,28000.3,232967,276650,69833,1.24,253,39,3330,,81736,48122,,767,,,7,107,,,,,,,,
2009,贵州省,铜仁市,思南县,520624,2331,27,,,,564,182434,152855,67,61,67,17536,12900,363106,214032,,,11,56879,,,336936,129373,63710,,143853,,,5339,20892,,2539,11516,,114609,221539,357422,,,,28816,,,11,236522,,22243,38454,203679,12,66256,204282,282100,86102,2.8,239,39,3026,,79249,54050,,767,,,11,287,,,,,,,,
2010,贵州省,铜仁市,思南县,520624,2216,27,,,,489,184510,157003,67,63,67,18645,18600,373271,216462,,,12,50779,,,402366,150900,82483,53200,168983,,,7857,24967,,2997,16165,,159721,283082,391458,,,,28786,,,12,250971,,21555,39978,236900,15,100659,75065,312204,101709,4.34,228,39,3188,,73509,54084,,1068,,,15,768,,,,,,,,
2011,贵州省,铜仁市,思南县,520624,2216,27,,,,526,190004,161071,67,63.8,67.71,18720,,383992,206197,,,13,53318,,,493060,163204,111453,73000,218403,,,9889,,,3683,23219,,196002,357943,456752,,,,28790,,,13,163661,,21279,40089,272200,9,98116,465110,437584,121052,,212,40,3361,,67253,40966,,1068,,,15,819,,,,,,,,
2012,贵州省,铜仁市,思南县,520624,2231,27,,,,526,191344,162068,67,64,67.08,18965,,397373,194709,,,16,52251,,,624000,194741,145300,98600,284000,,,12541,,,4335,31802,,237603,457716,578616,,,,,,,16,200468,,20804,41885,326600,13,253068,1078219,805093,140057,,201,41,3427,,61239,57758,,1276,,,15,856,,,,,,,,
2013,贵州省,铜仁市,思南县,520624,2231,27,9,18,,,,,67,,67.33,,,398800,,48462,54037,21,52194,,,736600,207635,174939,112800,347700,126600,71002,14778,,17719,5012,33577,25371,278343,497537,626641,,,,,,20,21,197173,,28857,44131,360300,57,389638,1502046,1068861,160085,,192,39,2827,,54982,57842,1985,711,,,20,790,,,,,,,,
2014,贵州省,铜仁市,思南县,520624,2231,25,8,17,3,,,,50,,67.69,,,389514,,82393,131098,25,18305,,,882000,230300,211556,138100,440100,138821,62754,17667,,19666,5996,42357,32265,328926,673661,787236,,,,,,23,25,220915,,30388,44687,368209,65,669653,1738049,1358292,200411,,171,39,2850,,51236,60677,5897,1490,,,20,790,,,,,,,,
2015,贵州省,铜仁市,思南县,520624,2231,24,8,16,3,,,,50,,68.01,,,392006,,84938,134139,28,14600,,,1013674,265497,243152,157500,505000,165726,70263,20282,,21829,5996,49122,40599,388857,735720,908410,,,,,,23,28,228406,,30605,56758,265497,79,771402,1790903,1613047,223859,,155,40,2975,,49100,58066,6626,1813,,,26,1329,,,,,,,,
2016,贵州省,铜仁市,思南县,520624,2231,25,8,17,3,,,,49,,68.42,,,382332,,80420,128673,32,11472,,,1159469,310981,270355,172700,578100,194400,84370,23134,,23916,7328,51040,36892,420226,791473,971014,,,,,,25,32,232396,,31592,43052,329181,79,869667,2351456,2351456,253185,,130,40,2880,,47149,55463,3813,2496,,,26,1329,,,,,,,,
2017,贵州省,铜仁市,思南县,520624,2231,25,8,17,,,,,48,,68.14,,,391816,,82417,131882,36,13303,,,1300700,349900,308500,193600,642300,212971,90821,25879,,26212,8090,51132,38112,494053,898371,1141700,,,,,,25,36,,,33230,,365809,84,,,,284833,,119,41,3032,,45455,51925,4859,2540,,,23,1125,,,,,,,,
2018,贵州省,铜仁市,思南县,520624,2231,25,8,17,3,,,,46,,68.578,,,256143,,80281,101892,,10988,,,1402000,379700,335500,198900,686800,,,27984,,28702,8899,52239,,513258,995193,1292130,,,,,,2530,,,,34961,,394784,78,,,,,,113,40,3001,,44423,51007,,2747,,,23,1136,,,,,,,,
2019,贵州省,铜仁市,思南县,520624,2231,25,8,17,3,,,,46,,69.153,,,258934,,88309,117176,,9405,,,1632500,394900,411300,273006,826300,,,33198,,31445,9883,43344,,539694,1089600,1465700,,,,,,229,,,,29532,,415441,72,,,,,,111,40,2965,,44810,50779,,3331,,,23,1136,,,,,,,,
2020,贵州省,铜仁市,思南县,520624,2216,25,8,17,3,,,,46,,66.84,,,295200,,,,,12781,,,1747800,456200,417300,270065,874300,,,38038,,33130,10689,39385,,481404,1202600,1652000,,,,,,229,,,,30318,,478157,58,,,,,,111,39,2940,,44435,45578,,3399,,,25,1411,,,,,,,,
2021,贵州省,铜仁市,思南县,520624,2216,25,8,17,3,,,,46,,66.9,,,285694,,,,,4772,,,1909800,499000,465400,316600,945400,,,41793,,36066,11882,37520,,406350,1376000,1964800,,,,,,233,,,,27988,,523000,62,,,,,,110,39,2496,,42526,42757,,3399,,,25,1411,,,,,,,,
2022,贵州省,铜仁市,思南县,520624,2216,25,8,17,3,,,,45,,67,,,,,,,,53520,,,1898140,525525,403883,,968732,,,41831,,37923,12649,32082,,435775,1568776,2205956,,,,,,255,,,,27825,,549800,60,,,,,,110,39,2617,,42217,42358,,4566,,,25,1136,,,,,,,,
2023,贵州省,铜仁市,思南县,520624,2216,25,8,17,3,,,,,,67,,,,,,,,13598,,,1917914,534605,371314,,1011995,,,,,,,34255,,446785,1732094,2494275,,,,,,265,,,,30095,,,41,,,,,,,,,,42580,46272,,4576,,,33,1190,,,,,,,,
2000,贵州省,铜仁市,印江土家族苗族自治县,520625,1961,17,,,,365,99047,93615,41,37,41,10523,,224152,146982,,,6,7235,,,61527,43711,8560,,9256,,,1537,,,1262,3005,,9270,28286,42443,,,53,18430,,,6,145288,3,11594,23648,69700,10,3599,8215,,12600,,239,21,1941,,48395,16990,,281,,,11,155,,,,,,,,
2001,贵州省,铜仁市,印江土家族苗族自治县,520625,1969,17,,,,365,103309,95275,40,38,40,10275,,225147,136283,,,6,12193,,,63783,43817,8818,,11148,,,1574,,,1312,3250,,13315,33148,45629,,,51.29,18430,,,6,129306,18,10556,25726,70800,7,4410,9012,,13200,,142,21,1983,,47999,21025,,380,,,11,155,,,,,,,,
2002,贵州省,铜仁市,印江土家族苗族自治县,520625,1961,17,,,,365,103597,95890,40,38,40,10911,9300,225275,130233,,,6.5,7596,,,69586,46498,10387,,12701,,,1700,10008,,1371,3524,,16744,41356,46199,,,52,18400,,,6.5,132065,17,10901,27509,74900,7,4960,15068,23892,15407,,139,21,2090,,49695,24725,,380,,,10,10,,,,,,,,
2003,贵州省,铜仁市,印江土家族苗族自治县,520625,1969,16,,,,365,106630,96733,42,38,42,17034,16900,225295,131019,,,7,12000,,,76958,50461,11918,,14579,,,1863,9996,,1427,4001,,17857,50881,38869,,,52,18427,,,7,143290,15,11472,30260,83200,6,15654,14838,27412,17459,,146,21,2024,,47339,26648,,395,,,11,150,,,,,,,,
2004,贵州省,铜仁市,印江土家族苗族自治县,520625,1961,17,,,,365,109212,97346,40,38,40,11006,17400,227000,128000,,,8,24300,,,87046,54548,15447,,17051,,,2089,11101,,1596,4444,,21812,64014,42790,,,53.1,18425,,,8,153610,9,12152,33210,92000,9,7896,19279,35903,19285,0.24,132,22,2132,,46303,22021,,250,,,11,109,,,,,,,,
2005,贵州省,铜仁市,印江土家族苗族自治县,520625,1969,17,,,,365,112495,99210,42,39,42,11134,16700,238227,131300,,,8,26000,,,110140,61623,13291,,35226,,,2619,13333,,1695,4870,,28043,75981,52144,,,53.62,18424,,,8,137436,2,13006,37260,97598,14,14511,46050,34508,22322,,133,22,2219,,45298,27041,,350,,,12,141,,,,,,,,
2006,贵州省,铜仁市,印江土家族苗族自治县,520625,1969,17,,,,347,111450,99210,42,39,42,10965,17700,238200,131300,,,8,27600,,,126312,66505,18028,,41779,,,2981,13912,,1806,5393,,34140,93221,61772,,,54.53,18434,,,8,144030,2,13607,41023,105407,19,20090,24591,58191,25705,0.56,132,22,2141,,45766,26522,,425,,,12,132,,,,,,,,
2007,贵州省,铜仁市,印江土家族苗族自治县,520625,1969,17,,,,347,112960,102603,42,39,42,10656,9400,232801,116589,,,8,27800,,,155918,80320,23502,,52096,,,2981,13912,,1806,6600,,46372,111665,68631,,,55.6,18400,,,8,154120,2,14465,46030,105407,23,28815,44756,58191,25705,0.65,131,22,2194,,44290,26087,,425,,,12,132,,,,,,,,
2008,贵州省,铜仁市,印江土家族苗族自治县,520625,1961,17,,,,347,148887,104308,42,39.5,42.5,10013,9300,232278,114472,,,13.2,20500,,,191580,99077,30751,,61752,,,4842,19164,,2410,7282,,69424,135907,75502,,,50.41,18510,,,13.2,154860,2,10882,23940,145286,24,39159.8,46000,98216,37609,0.59,132,23,2279,,43211,26381,,420,,,12,259,,,,,,,,
2009,贵州省,铜仁市,印江土家族苗族自治县,520625,1961,17,,,,347,121522,104401,43,40,43,10866,12800,234168,111760,,,15,20600,,,215564,101419,32437,,81708,,,5415,19646,,2611,9056,,79580,162539,108659,,,52.67,18600,,,15,146200,2,14386,25382,148484,26,53141,39856,111410,47231,1.29,130,22,2287,,42959,27284,,420,,,12,299,,,,,,,,
2010,贵州省,铜仁市,印江土家族苗族自治县,520625,1968,17,,,,347,124785,107428,43,40,43,10578,10600,234279,109919,,,15,33000,,,252849,116216,42284,30100,94349,,,8583,24068,,3026,11814,,109299,201550,142340,,,53.42,18622,,,15,151901,1,13966,26544,171800,30,80500,55518,155378,54035,1.44,134,22,2213,,40169,27045,,420,,,12,299,,,,,,,,
2011,贵州省,铜仁市,印江土家族苗族自治县,520625,1968,17,,,,365,133819,109665,44,40.4,43.59,10760,,238674,109039,,,15,61200,,,314051,129021,60330,45100,124700,,,11070,,,3719,15469,,140308,260004,193363,,,56.46,18590,,,15,103762,,15280,26619,193900,20,130122,297341,246979,64869,,126,23,2266,,40150,26152,,505,,,12,300,,,,,,,,
2012,贵州省,铜仁市,印江土家族苗族自治县,520625,1961,17,,,,365,138447,115006,44,41,43.76,13554,,245035,107441,,,27,18241,,,404100,155001,82381,63300,166100,,,14269,,,4396,21692,,181470,319930,318108,,,58.6,,,,27,127602,,15787,27805,233500,32,174330,562165,469179,75183,,126,24,2239,,38132,19822,,922,,,14,380,,,,,,,,
2013,贵州省,铜仁市,印江土家族苗族自治县,520625,1961,17,8,9,,,,,44,,44.1,,,245200,,38921,108594,30,39007,,,482400,167413,102271,74900,209000,86315,69504,17001,,17632,5113,22970,17220,196136,394029,424479,,,,,1703,277,30,122969,,16508,29397,258500,40,252283,809891,622016,86235,,121,24,1977,,36298,28777,2653,328,,,14,262,,,,,,,,
2014,贵州省,铜仁市,印江土家族苗族自治县,520625,1961,17,8,9,,,,,28,,44.49,,,242017,,42395,114771,30,39120,,,589100,188200,128082,91800,272800,120708,52634,20722,,19530,6037,26527,20793,215750,423878,518569,,,,,1703,465,30,136203,,17108,29774,284605,53,333730,956469,788458,107292,,107,24,2040,,34404,28460,2644,588,,,14,346,,,,,,,,
2015,贵州省,铜仁市,印江土家族苗族自治县,520625,1961,14,1,13,3,,,,28,,44.97,,,249780,,44615,116646,30,39723,,,742216,241200,148071,105800,352900,152965,61008,26070,,21758,6037,26907,45173,294954,470362,667266,,,,,1703,465,30,138515,,17662,30018,241167,47,311994,664022,951061,120274,,99,22,2037,,33848,28781,2613,1671,,,14,308,,,,,,,,
2016,贵州省,铜仁市,印江土家族苗族自治县,520625,1968,14,1,13,3,,,,29,,45.22,,,255525,,49246,119373,31,49392,,,905373,254414,164149,116100,486800,165000,68420,31732,,23860,7319,27229,47090,306010,549319,795284,,,,,1847,504,31,144491,,18513,28950,265172,48,305645,1345000,1345000,135922,,98,21,2105,,32010,30217,2295,1670,,,14,346,,,,,,,,
2017,贵州省,铜仁市,印江土家族苗族自治县,520625,1968,14,1,13,3,,,,29,,45.12,,,253760,,58914,118247,30,49392,,,953700,265400,177800,121100,510500,161211,70101,33288,,26031,8058,27939,49442,399089,664200,980403,,,,,1836,692,30,,,18844,,277781,54,,,,153184,,71,22,2197,,32093,30703,1990,1989,,,14,1118,,,,,,,,
2018,贵州省,铜仁市,印江土家族苗族自治县,520625,1968,14,1,13,3,,,,29,,45.445,,,233991,,65696,100175,,48521,,,1014200,302900,195400,126900,515900,,,35895,,28478,8888,30572,,390865,906000,1195329,,,,,,316,,,,15210,,314892,58,,,,,,71,23,2346,,32089,30495,,1948,,,13,928,,,,,,,,
2019,贵州省,铜仁市,印江土家族苗族自治县,520625,1968,14,1,13,3,,,,29,,45.579,,,221484,,65857,99892,,14650,,,1134600,317200,225500,154833,591900,,,40998,,31142,9843,30622,,367529,894100,1338725,,,,,,73,,,,15295,,331565,58,,,,,,68,23,2239,,31891,28058,,2000,,,14,941,,,,,,,,
2020,贵州省,铜仁市,印江土家族苗族自治县,520625,1968,14,1,13,3,,,,29,,44.46,,,199500,,,,,14560,,,1197648,352307,226261,153623,619080,,,40792,,32718,10601,31308,,321194,986275,1701671,,,,,,820,,,,15536,,367908,46,,,,,,61,22,2200,,31168,26328,,2000,,,14,874,,,,,,,,
2021,贵州省,铜仁市,印江土家族苗族自治县,520625,1968,14,1,13,3,,,,29,,44.5,,,198849,,,,,14397,,,1307382,384525,251134,177000,671723,,,44522,,35483,11716,32232,,304942,1106349,1962158,,,,,,989,,,,16411,,401000,49,,,,,,60,22,1800,,29796,25175,,1846,,,14,874,,,,,,,,
2022,贵州省,铜仁市,印江土家族苗族自治县,520625,1968,14,1,13,3,,,,29,,45,,,,,,,,14390,,,1312582,398629,210805,,703148,,,45014,,37362,12484,31296,,329423,1272266,2147988,,,,,,156,,,,18543,,417400,43,,,,,,49,22,1780,,28072,24552,,2287,,,14,410,,,,,,,,
2023,贵州省,铜仁市,印江土家族苗族自治县,520625,1968,14,1,13,3,,,,,,45,,,,,,,,14326,,,1353822,407162,228469,,718191,,,,,,,33235,,345794,1403946,2367478,,,,,,152,,,,21081,,,41,,,,,,,,,,30452,24199,,2900,,,15,610,,,,,,,,
2000,贵州省,铜仁市,德江县,520626,2072,20,,,,355,107036,96482,45,40,45,13401,,245129,199674,,,7,9444,,,88894,67668,8128,,13098,,,2045,,,1202,3717,,10150,15355,42058,,,,24050,,,7,175543,1,12315,20806,97300,13,10629,7520,,14000,,259,29,2220,,60790,17318,,446,,,12,235,,,,,,,,
2001,贵州省,铜仁市,德江县,520626,2072,20,,,,355,108688,96543,43,40,43,13554,,256188,201326,,,7,10158,,,89407,64773,8449,,16185,,,2030,,,1216,3863,,13060,19395,45628,,,,24050,,,7,144561,,11340,21188,94900,14,6011,6913,,15100,,230,29,1963,,63858,19027,,450,,,11,235,,,,,,,,
2002,贵州省,铜仁市,德江县,520626,2072,20,,,,355,111216,97390,44,41,43.8,268177,12300,259394,194787,,,6.6,14482,,,98040,68214,11411,,18415,,,2202,9312,,1279,4239,,16386,20121,45590,,,,21200,,,6.6,154708,,11639,22140,98600,13,7409,23287,23311,16890,,194,29,1991,,64782,26099,,405,,,12,255,,,,,,,,
2003,贵州省,铜仁市,德江县,520626,2072,20,,,,354,112999,97587,45,41,45,12488,19800,260361,184244,,,7,19527,,,99819,63433,15406,,20980,,,2221,9219,,1323,4808,,19705,31917,32391,,,,21622,,,7,163044,,11459,24591,99500,11,10568,24558,30265,19155,,189,30,2157,,63900,28560,,405,,,12,184,,,,,,,,
2004,贵州省,铜仁市,德江县,520626,2072,20,,,,355,115286,98523,46,41,46,12836,19800,267000,187000,,,8,15411,,,113225,68354,19716,,25155,,,2495,10898,,1445,5409,,23391,40642,35641,,,,21606,,,8,173693,,12435,26749,107200,11,15224,18169,38243,23335,,194,30,2278,,63020,30009,,429,,,14,255,,,,,,,,
2005,贵州省,铜仁市,德江县,520626,1969,17,,,,365,112495,99210,42,39,47,11134,21300,238227,131300,,,8,26000,,,142064,78922,19978,,43164,,,3104,12425,,1538,4870,,28043,75981,52144,,,,21606,,,15,137436,2,13006,37260,115393,14,14511,46050,33837,28322,,211,30,2189,,62291,27041,,350,,,12,141,,,,,,,,
2006,贵州省,铜仁市,德江县,520626,2072,20,,,,355,120192,101192,48,41,48,13799,23300,268967,187474,,,16,24818,,,162503,86064,24999,,51440,,,3526,14616,,1591,6691,,35714,61709,54594,,,,21605,,,16,149825,,13811,34168,124515,12,23415,64506,64167,34064,,213,30,2459,,66656,32396,,444,,,9,168,,,,,,,,
2007,贵州省,铜仁市,德江县,520626,2072,20,,,,355,125283,101520,49,40,49,14089,13400,251081,179306,,,16,29360,,,198254,105043,30090,,63121,,,3526,14616,,1591,8860,,48769,75151,63000,,,,21600,,,16,175604,,15210,37126,124515,15,31112,77621,64167,34064,0.05,211,30,2526,,65665,33708,,591,,,11,168,,,,,,,,
2008,贵州省,铜仁市,德江县,520626,2072,20,,,,355,130229,102641,50,41.1,50.1,13629,12900,260439,166078,,,15.4,32250,,,233174,115699,40553,,76922,,,5283,20892,,2195,9486,,80298,94008,71420,,,,21610,,,15.4,176760,,6802,22274,173531,20,45878.3,99530,98216,52752,0.41,217,29,2506,,64433,34064,,645,,,14,255,,,,,,,,
2009,贵州省,铜仁市,德江县,520626,2072,20,,,,355,135696,102968,51,41,51,16182,14400,257824,162955,,,19,30762,,,273388,115649,43722,,114017,,,6156,20555,,2425,11216,,91528,111184,98894,,,,21605,,,19,171405,,14528,24250,176841,20,58204,39757,97460,63508,0.65,211,29,2778,,64882,28413,,576,,,1,60,,,,,,,,
2010,贵州省,铜仁市,德江县,520626,2070,20,,,,316,141767,110097,52,42,52,15630,15600,257482,156271,,,19,31192,,,323249,132239,54918,34800,136092,,,8604,23691,,2828,15218,,120526,161514,132560,,,,21552,,,19,176361,,14051,25247,205800,23,73543,78768,128023,70954,0.31,207,29,2713,,63125,28291,,576,,,1,60,,,,,,,,
2011,贵州省,铜仁市,德江县,520626,2070,20,,,,316,150204,110877,53,41.9,53.18,20020,,258944,151562,,,29,33470,,,397805,145722,74494,47800,177589,,,10831,,,3503,23254,,161263,218939,188437,,,,21350,,,29,99537,,14915,25312,226900,21,108823,142938,228455,84436,,206,29,2755,,60931,36603,,1560,,,1,60,,,,,,,,
2012,贵州省,铜仁市,德江县,520626,2072,20,,,,316,154140,115331,53,42,52.56,18235,,250786,121367,,,29,38266,,,505200,173905,97360,65000,233300,,,13779,,,4138,33667,,204815,284810,271135,,,,,,,29,139486,,12956,26429,271100,44,187745,275583,436443,97523,,198,30,2795,,56650,29207,,1560,,,1,60,,,,,,,,
2013,贵州省,铜仁市,德江县,520626,2172,19,8,11,2,,,,53,,53.15,,,232800,,54225,99657,29,39870,,,600612,186934,119289,76600,290500,112986,67460,16341,,17670,4783,35128,22518,263278,348776,376320,,,,,45,19,29,133274,,16387,27808,298200,62,240963,738746,579909,111859,,199,29,2848,,52564,30014,487,1622,,,14,514,,,,,,,,
2014,贵州省,铜仁市,德江县,520626,2172,19,8,11,2,,,,37,,54.08,,,196649,,60066,121645,30,39660,,,733000,209800,149051,93700,374100,131398,53911,19852,,19666,5907,42410,31047,279921,396125,497518,,,,,830,170,30,178256,,17246,28251,317771,64,407299,857220,740747,140284,,168,29,2322,,47826,29171,5416,2229,,,13,577,,,,,,,,
2015,贵州省,铜仁市,德江县,520626,2172,19,8,11,2,,,,37,,54.58,,,193472,,60292,123055,32,39810,,,845700,234900,171604,106800,439200,147926,57587,22807,,21860,5907,50165,40147,320704,445190,602214,,,,,935,190,32,175051,,17844,28577,234926,68,493916,959872,904420,157539,,106,31,2358,,46181,28391,5376,2246,,,13,585,,,,,,,,
2016,贵州省,铜仁市,德江县,520626,2070,19,8,11,2,,,,40,,55.06,,,212889,,78735,160692,43,16595,,,931284,234900,190381,116400,506000,149440,61570,25045,,23972,7283,100023,38655,364300,513230,691789,,,,,1298,205,43,177705,,18824,27591,246530,69,583728,1262232,1262232,177767,,102,34,2972,,45097,29165,6137,2924,,,15,814,,,,,,,,
2017,贵州省,铜仁市,德江县,520626,2070,19,8,11,2,,,,39,,55.04,,,205918,,38499,95408,45,17000,,,1072200,267500,217000,130400,587700,163689,72080,28799,,26298,8048,56325,48266,474360,667545,937355,,,,,1791,363,45,,,17862,,285638,69,,,,200699,,104,33,3032,,44034,29224,4601,3056,,,16,1054,,,,,,,,
2018,贵州省,铜仁市,德江县,520626,2070,19,8,11,2,,,,39,,55.261,,,145936,,63633,107327,,3152,,,1219998,304798,242800,137600,672400,,,33000,,28823,8885,57478,,430097,790273,1376133,,,,,,395,,,,,,322348,61,,,,,,100,34,3045,,47417,28311,,3156,,,16,1093,,,,,,,,
2019,贵州省,铜仁市,德江县,520626,2070,19,8,11,2,,,,39,,54.735,,,158506,,60108,109371,,3105,,,1374000,320100,294100,148395,759800,,,37887,,31548,9850,50025,,441194,825360,1622772,,,,,,426,,,,10723,,340362,59,,,,,,101,35,3005,,42904,27011,,3446,,,16,1144,,,,,,,,
2020,贵州省,铜仁市,德江县,520626,2070,19,8,11,3,,,,39,,55.32,,,156300,,,,,3092,,,1453136,348575,299160,148026,805401,,,36980,,33271,10683,47807,,426581,916806,1877393,,,,,,584,,,,10209,,370282,42,,,,,,90,36,2935,,42765,40352,,3543,,,16,1158,,,,,,,,
2021,贵州省,铜仁市,德江县,520626,2070,19,8,11,3,,,,39,,55.4,,,156395,,,,,3054,,,1592600,379500,324100,165700,889000,,,40466,,36249,11854,48500,,410023,1069400,2127200,,,,,,604,,,,10277,,403000,46,,,,,,90,36,2979,,43204,38209,,3599,,,16,1161,,,,,,,,
2022,贵州省,铜仁市,德江县,520626,2070,19,8,11,3,,,,39,,56,,,,,,,,2961,,,1603100,397700,287100,,918300,,,40872,,38040,12702,48647,,439020,1232624,2460880,,,,,,582,,,,11946,,423800,47,,,,,,90,36,2970,,42509,38128,,3709,,,16,1166,,,,,,,,
2023,贵州省,铜仁市,德江县,520626,2070,19,8,11,3,,,,,,56,,,,,,,,1694,,,1672604,401494,336776,,934334,,,,,,,52337,,452138,1403192,2708500,,,,,,580,,,,13875,,,43,,,,,,,,,,41710,36895,,3910,,,16,1103,,,,,,,,
2000,贵州省,铜仁市,沿河土家族自治县,520627,2469,22,,,,429,134062,122568,55,50,55,12951,,292507,207101,,,7,7430,,,68990,48434,7952,,12604,,,1281,,,1166,3309,,11207,24979,40030,,,68,26640,,,7,183678,,8602,23582,75400,16,4144,9673,,14400,0.03,331,16,2586,,81562,16125,,358,,,10,140,,,,,,,,
2001,贵州省,铜仁市,沿河土家族自治县,520627,2469,22,,,,429,134109,128104,55,52,55,12615,,296393,208001,,,7,8763,,,70660,46413,7670,,16577,,,1295,,,1162,3608,,15947,29910,44300,,,65.81,26650,,,7,146709,,8518,26002,72700,14,4871,6140,,15700,0.25,216,26,2363,,82651,18400,,346,,,11,116,,,,,,,,
